Episodio,Passos,RecompensaTotal,Sucesso,Epsilon
429,34,100.45,1,0.1259
430,34,100.05,1,0.1253
431,29,100.45,1,0.1247
432,37,100.45,1,0.1242
433,30,100.45,1,0.1236
434,33,100.45,1,0.1230
435,32,100.45,1,0.1225
436,36,100.45,1,0.1219
437,39,100.45,1,0.1214
438,26,100.45,1,0.1208
439,28,100.45,1,0.1202
440,39,100.45,1,0.1197
441,34,100.45,1,0.1191
442,26,100.45,1,0.1186
443,25,100.45,1,0.1181
444,36,100.45,1,0.1175
445,28,100.45,1,0.1170
446,32,100.45,1,0.1165
447,30,100.45,1,0.1159
448,29,100.45,1,0.1154
449,45,100.45,1,0.1149
450,44,100.45,1,0.1143
451,35,100.45,1,0.1138
452,28,100.45,1,0.1133
453,47,100.45,1,0.1128
454,35,100.45,1,0.1123
455,29,100.45,1,0.1118
456,33,100.45,1,0.1113
457,31,100.45,1,0.1108
458,29,100.45,1,0.1103
459,26,100.45,1,0.1098
460,30,100.45,1,0.1093
461,32,100.45,1,0.1088
462,29,100.45,1,0.1083
463,38,100.05,1,0.1078
464,28,100.45,1,0.1073
465,33,100.45,1,0.1068
466,27,100.45,1,0.1063
467,26,100.45,1,0.1058
468,35,100.45,1,0.1054
469,30,100.45,1,0.1049
470,31,100.45,1,0.1044
471,37,100.45,1,0.1039
472,30,100.45,1,0.1035
473,28,100.45,1,0.1030
474,30,100.45,1,0.1025
475,40,100.45,1,0.1021
476,28,100.45,1,0.1016
477,47,100.45,1,0.1012
478,43,99.85,1,0.1007
479,27,100.45,1,0.1003
480,31,100.45,1,0.0998
481,27,100.45,1,0.0994
482,26,100.45,1,0.0989
483,27,100.45,1,0.0985
484,29,100.45,1,0.0980
485,200,-6.65,0,0.0976
486,200,-6.5,0,0.0972
487,200,-7.4,0,0.0967
488,121,97.25,1,0.0963
489,26,100.45,1,0.0959
490,43,100.45,1,0.0954
491,65,99.14999999999999,1,0.0950
492,28,100.45,1,0.0946
493,30,100.45,1,0.0942
494,28,100.45,1,0.0937
495,29,100.45,1,0.0933
496,52,100.45,1,0.0929
497,32,100.45,1,0.0925
498,31,100.45,1,0.0921
499,57,100.45,1,0.0917
500,28,100.45,1,0.0913
501,35,100.05,1,0.0909
502,26,100.45,1,0.0905
503,200,-4.999999999999998,0,0.0901
504,200,-7.4,0,0.0897
505,161,95.64999999999999,1,0.0893
506,40,100.05,1,0.0889
507,67,99.25,1,0.0885
508,38,100.05,1,0.0881
509,58,100.25,1,0.0877
510,36,100.45,1,0.0873
511,34,100.45,1,0.0869
512,29,100.45,1,0.0865
513,32,100.45,1,0.0861
514,32,100.45,1,0.0858
515,26,100.45,1,0.0854
516,35,100.25,1,0.0850
517,28,100.45,1,0.0846
518,33,100.25,1,0.0843
519,46,100.45,1,0.0839
520,31,100.45,1,0.0835
521,35,100.45,1,0.0832
522,26,100.45,1,0.0828
523,30,100.45,1,0.0824
524,37,100.05,1,0.0821
525,200,-7.550000000000001,0,0.0817
526,200,-6.199999999999999,0,0.0814
527,200,-6.500000000000001,0,0.0810
528,62,99.25,1,0.0806
529,36,100.45,1,0.0803
530,50,100.05,1,0.0799
531,200,-4.1,0,0.0796
532,53,99.55,1,0.0792
533,35,100.45,1,0.0789
534,44,100.05,1,0.0786
535,43,100.45,1,0.0782
536,56,99.14999999999999,1,0.0779
537,46,100.05,1,0.0775
538,200,-4.599999999999998,0,0.0772
539,161,96.05,1,0.0769
540,37,100.05,1,0.0765
541,33,100.45,1,0.0762
542,55,100.05,1,0.0759
543,31,100.45,1,0.0755
544,30,100.45,1,0.0752
545,200,-5.699999999999999,0,0.0749
546,53,99.64999999999999,1,0.0746
547,30,100.45,1,0.0742
548,57,99.85,1,0.0739
549,27,100.45,1,0.0736
550,174,94.44999999999999,1,0.0733
551,29,100.45,1,0.0730
552,134,95.64999999999999,1,0.0727
553,61,98.55,1,0.0723
554,189,90.35,1,0.0720
555,181,93.55,1,0.0717
556,56,99.64999999999999,1,0.0714
557,33,100.45,1,0.0711
558,34,100.05,1,0.0708
559,63,98.95,1,0.0705
560,55,99.64999999999999,1,0.0702
561,50,99.35,1,0.0699
562,129,96.05,1,0.0696
563,52,99.14999999999999,1,0.0693
564,61,99.45,1,0.0690
565,200,-6.5,0,0.0687
566,200,-6.199999999999999,0,0.0684
567,110,97.25,1,0.0681
568,48,99.45,1,0.0678
569,200,-7.650000000000001,0,0.0676
570,65,99.25,1,0.0673
571,57,99.05,1,0.0670
572,60,99.85,1,0.0667
573,200,-7.300000000000001,0,0.0664
574,33,100.45,1,0.0661
575,190,93.64999999999999,1,0.0659
576,172,95.25,1,0.0656
577,67,98.75,1,0.0653
578,52,99.45,1,0.0650
579,57,98.55,1,0.0647
580,200,-9.350000000000009,0,0.0645
581,191,93.64999999999999,1,0.0642
582,127,95.95,1,0.0639
583,84,97.55,1,0.0637
584,58,100.14999999999999,1,0.0634
585,82,99.45,1,0.0631
586,45,99.64999999999999,1,0.0629
587,47,99.64999999999999,1,0.0626
588,47,99.85,1,0.0623
589,69,99.25,1,0.0621
590,31,100.45,1,0.0618
591,22,100.45,1,0.0616
592,30,100.35,1,0.0613
593,75,98.25,1,0.0610
594,27,100.45,1,0.0608
595,39,100.45,1,0.0605
596,35,100.25,1,0.0603
597,32,100.45,1,0.0600
598,31,100.45,1,0.0598
599,46,100.45,1,0.0595
600,42,100.25,1,0.0593
601,32,100.45,1,0.0590
602,40,100.25,1,0.0588
603,40,100.45,1,0.0586
604,26,100.45,1,0.0583
605,34,100.05,1,0.0581
606,38,100.45,1,0.0578
607,30,100.45,1,0.0576
608,30,100.45,1,0.0574
609,32,100.45,1,0.0571
610,28,100.25,1,0.0569
611,36,100.45,1,0.0567
612,44,100.25,1,0.0564
613,36,100.45,1,0.0562
614,53,99.75,1,0.0560
615,34,99.95,1,0.0557
616,32,100.45,1,0.0555
617,36,100.05,1,0.0553
618,27,100.45,1,0.0550
619,36,100.25,1,0.0548
620,28,100.45,1,0.0546
621,26,100.45,1,0.0544
622,26,100.45,1,0.0542
623,32,100.45,1,0.0539
624,54,100.45,1,0.0537
625,24,100.45,1,0.0535
626,35,100.25,1,0.0533
627,26,100.45,1,0.0531
628,34,100.45,1,0.0528
629,37,99.85,1,0.0526
630,30,100.45,1,0.0524
631,28,100.45,1,0.0522
632,27,100.45,1,0.0520
633,26,100.45,1,0.0518
634,26,100.45,1,0.0516
635,26,100.45,1,0.0514
636,25,100.45,1,0.0512
637,31,100.14999999999999,1,0.0510
638,35,100.45,1,0.0508
639,25,100.45,1,0.0506
640,33,100.45,1,0.0504
641,33,100.45,1,0.0502
642,26,100.45,1,0.0500
643,25,100.45,1,0.0498
644,43,100.45,1,0.0496
645,25,100.45,1,0.0494
646,38,100.45,1,0.0492
647,25,100.45,1,0.0490
648,25,100.45,1,0.0488
649,35,100.25,1,0.0486
650,35,100.45,1,0.0484
651,26,100.45,1,0.0482
652,36,100.45,1,0.0480
653,33,100.45,1,0.0478
654,42,100.45,1,0.0476
655,37,100.45,1,0.0474
656,25,100.45,1,0.0473
657,31,100.14999999999999,1,0.0471
658,32,100.45,1,0.0469
659,36,100.25,1,0.0467
660,24,100.45,1,0.0465
661,41,100.45,1,0.0463
662,27,100.45,1,0.0462
