Episodio,Passos,RecompensaTotal,Sucesso,Epsilon
277,200,-64.5,0,0.2578
278,200,-59.39999999999999,0,0.2566
279,200,-64.5,0,0.2554
280,200,-64.45,0,0.2541
281,200,-67.39999999999999,0,0.2529
282,200,-56.399999999999984,0,0.2517
283,62,988.6999999999999,1,0.2505
284,200,-36.0,0,0.2493
285,200,-33.95,0,0.2481
286,200,-40.0,0,0.2469
287,200,-59.5,0,0.2457
288,200,-53.449999999999996,0,0.2446
289,200,-61.49999999999999,0,0.2434
290,200,-57.45,0,0.2422
291,200,-63.0,0,0.2411
292,200,-64.80000000000001,0,0.2399
293,200,-66.5,0,0.2388
294,200,-64.99999999999999,0,0.2376
295,200,-62.80000000000001,0,0.2365
296,200,-61.95,0,0.2354
297,200,-60.05000000000001,0,0.2342
298,200,-66.34999999999998,0,0.2331
299,200,-73.3,0,0.2320
300,200,-66.85000000000001,0,0.2309
301,200,-64.8,0,0.2298
302,200,-65.35,0,0.2287
303,200,-64.75,0,0.2276
304,200,-62.9,0,0.2265
305,200,-62.050000000000026,0,0.2254
306,120,963.6999999999999,1,0.2244
307,199,928.1999999999999,1,0.2233
308,37,997.1999999999999,1,0.2222
309,31,997.1999999999999,1,0.2212
310,35,994.6999999999999,1,0.2201
311,22,1000.1999999999999,1,0.2191
312,160,947.6999999999999,1,0.2180
313,149,946.1999999999999,1,0.2170
314,200,-45.5,0,0.2160
315,200,-41.400000000000006,0,0.2149
316,200,-50.99999999999999,0,0.2139
317,200,-54.499999999999986,0,0.2129
318,104,964.6999999999999,1,0.2119
319,200,-37.0,0,0.2109
320,200,-44.0,0,0.2099
321,200,-36.0,0,0.2089
322,200,-43.45,0,0.2079
323,200,-53.35,0,0.2069
324,40,994.6999999999999,1,0.2059
325,195,943.1999999999999,1,0.2049
326,200,-38.9,0,0.2040
327,200,-46.0,0,0.2030
328,200,-42.9,0,0.2020
329,200,-68.99999999999999,0,0.2011
330,112,972.6999999999999,1,0.2001
331,200,-38.5,0,0.1992
332,200,-54.999999999999986,0,0.1982
333,200,-54.99999999999999,0,0.1973
334,200,-54.5,0,0.1964
335,200,-53.5,0,0.1954
336,200,-58.95,0,0.1945
337,200,-56.900000000000006,0,0.1936
338,200,-60.49999999999999,0,0.1927
339,200,-64.0,0,0.1918
340,200,-70.44999999999999,0,0.1909
341,200,-67.95,0,0.1900
342,200,-66.4,0,0.1891
343,200,-63.400000000000006,0,0.1882
344,200,-62.75000000000001,0,0.1873
345,200,-65.45,0,0.1864
346,200,-68.99999999999999,0,0.1855
347,153,951.6999999999999,1,0.1846
348,37,994.6999999999999,1,0.1838
349,127,963.1999999999999,1,0.1829
350,146,962.1999999999999,1,0.1820
351,200,-39.0,0,0.1812
352,200,-39.5,0,0.1803
353,200,-59.550000000000026,0,0.1795
354,200,-58.99999999999999,0,0.1786
355,200,-61.5,0,0.1778
356,200,-63.449999999999996,0,0.1770
357,200,-60.44999999999998,0,0.1761
358,200,-60.349999999999994,0,0.1753
359,132,960.1999999999999,1,0.1745
360,20,999.6999999999999,1,0.1736
361,200,-71.15,0,0.1728
362,200,-71.3,0,0.1720
363,200,-47.99999999999999,0,0.1712
364,200,-56.250000000000014,0,0.1704
365,200,-54.35000000000001,0,0.1696
366,200,-60.999999999999986,0,0.1688
367,200,-59.9,0,0.1680
368,200,-72.45,0,0.1672
369,200,-65.35000000000001,0,0.1664
370,113,972.1999999999999,1,0.1657
